routeid,created_utc,activitytype,latitude,longitude,distance_m,n_points
c82740ab3cd30446e8f3bd6c812ffcd3,2012-09-06 15:13:01.216000,Running,42.26008,-71.158369,12966.897153369277,131
26efafbbf06139e02d853f681c92a4d2,2012-09-06 15:15:39.772000,Running,42.26291,-71.1634,4186.7192854659315,39
9b9b9b4fcf46a5deb7477ecedcd54925,2012-09-07 00:28:57.443000,Running,42.36111,-71.06784,12119.598603064744,61
699876c1e6543700bcae56bcdc548a80,2012-09-07 00:36:32.344000,Running,42.36137,-71.08532,6008.160065943849,183
351ebe4afc99201e822b5556da7095ff,2012-09-07 01:24:54.368000,Running,42.35744,-71.06408,15131.281520167358,498
1122a966b2d75ed9b0fe8da7964920ef,2012-09-07 15:21:29.304000,Running,42.3637,-71.10778,2911.5298903508055,106
2331df1ce043a198eae8a759c37bfc2e,2012-09-07 15:40:06.551000,Running,42.371043,-71.158237,5120.968894941921,33
7ce1d3a933947d517002fdc80f546813,2012-09-07 18:00:46.160000,Walking,42.354429,-71.07949,3413.664246157724,6
bb2f70d0bc7050c7367d73a68bf027db,2012-09-07 19:59:19.313000,Running,42.361177,-71.070079,5692.901507076683,18
a32fd20e57068b9758c99714568dc77e,2012-09-08 14:59:44.152000,Running,42.30658,-71.09459,7786.408262038909,496
3e4a713f2087f5e244e0a1ada95509bb,2012-09-08 16:36:13.336000,Running,42.32858,-71.055279,5232.848012277781,224
8ea0df5a76afa986d32f5c6acf2b2b14,2012-09-09 02:30:28.342000,Running,42.342708,-71.108167,6273.88764983815,65
81c00ebd1fb8acbfbd0ca0560a23afd9,2012-09-09 11:32:57.217000,Running,42.35165,-71.1663,7919.846704358346,307
c81dc79c13030d616b5a07830aca5a7b,2012-09-09 11:44:11.467000,Running,42.385063,-71.094049,17630.48186647371,149
944d37b7d3d539bb912376320723dfc1,2012-09-09 15:43:11.319000,Running,42.356593,-71.063447,5007.37437178985,46
d6ac329412c25197ab6e5ce07768fbd5,2012-09-09 17:26:52.208000,Running,42.33743,-71.14302,6938.330146072887,191
087425aab3cadf6757d445b967399aa0,2012-09-09 17:49:11.294000,Running,42.28465,-71.15318,10935.048101917355,362
67cad1cde18554291e67555e95f3b0b6,2012-09-09 19:10:33.746000,Running,42.373974,-71.1128,30605.907799237037,132
